Time,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
14/07/201622:30:00,3.190754,-77.4,0.329,10.97,-24.5482364,-28.11398094,0.5334780947,0
14/07/201623:00:00,3.555238,-51.83,0.328,8.53,-5.755082048,-6.819207368,0.7081577749,0
14/07/201623:30:00,3.227045,-12.02,0.328,8.53,-7.964674276,-9.425172135,0.670353005,0
16/07/201600:00:00,1.713012,-45.45,0.371,5.956,-3.962358747,-5.647796279,0.6500909003,0
16/07/201600:30:00,1.659289,-17.95,0.371,5.956,-6.755175651,-3.522328712,0.4455271362,0
16/07/201601:00:00,1.319448,-18.66,0.366,5.951,-6.325318298,-2.921308674,0.6057311889,0.1
16/07/201601:30:00,2.674598,-17.5,0.366,5.951,-0.4945327879,-0.6718120521,0.648107242,0
16/07/201602:00:00,4.968576,-9.55,0.363,6.03,3.39984361,1.512694877,0.8513723023,0
16/07/201602:30:00,2.798556,-3.599,0.363,6.03,-8.190888807,-4.124060159,0.8161088368,0
16/07/201603:00:00,1.15369,-20.82,0.36,6.001,-10.75102399,-12.40432605,0.5538187396,0
16/07/201603:30:00,1.348931,-31.58,0.36,6.001,-4.871739963,-4.866082626,0.3776798579,0.3
16/07/201604:00:00,1.833819,-18.24,0.358,5.85,-4.750248295,-11.16775035,0.9559183146,2
16/07/201604:30:00,1.574056,-24.63,0.358,5.85,-6.110702916,-13.68275901,0.3450658491,1.3
16/07/201605:00:00,0.8458931,-29.32,0.358,5.474,-2.68378557,-3.44509994,0.3006418615,0.1
16/07/201605:30:00,0.9811368,-16.22,0.358,5.474,-11.84576278,-6.588437064,0.2266190695,0.1
16/07/201606:00:00,1.519838,-28.58,0.368,5.121,-7.277768949,-18.28422357,0.397675045,0.3
16/07/201606:30:00,0.8564214,-35.77,0.368,5.121,-3.347621887,-4.182488893,0.2166897306,0.2
16/07/201607:00:00,0.8255292,-17.67,0.369,5.017,7.933179434,3.736329323,0.2233274373,0
16/07/201607:30:00,1.361614,2.222,0.369,5.017,1.766695187,0.3151351869,0.3768740477,0
16/07/201608:00:00,0.8795648,-6.308,0.368,5.642,6.077314201,3.390014624,0.439423449,0.1
16/07/201608:30:00,1.466687,1.634,0.368,5.642,14.01343548,6.405645161,0.2345922309,0
16/07/201609:00:00,0.8207744,13.51,0.366,5.953,45.24747458,27.39879617,0.3899478935,0
16/07/201609:30:00,0.7670923,67.49,0.366,5.953,60.05576068,44.88320355,0.2424243855,0
16/07/201610:00:00,0.7203152,102.2,0.364,7.079,69.97946477,51.54369515,0.4001258951,0.5
16/07/201610:30:00,0.9523098,121.4,0.364,7.079,60.46225068,56.0407227,0.3641505528,0
16/07/201611:00:00,0.8127533,119.3,0.361,8.55,58.61658248,32.5755795,0.3343642944,0.5
16/07/201611:30:00,1.053953,94.5,0.361,8.55,54.07947994,57.96269147,0.3553129928,0.2
16/07/201612:00:00,1.031615,116.5,0.36,8.95,63.96783357,43.88839325,0.3891434786,0.4
16/07/201612:30:00,0.8534781,112.9,0.36,8.95,103.3682769,69.53375913,0.4271923485,0.4
16/07/201613:00:00,1.754145,180.3,0.359,9.38,136.5683866,81.31561161,0.5257926281,0
