Time,H,LE,ws,wd,air_temp,TKE,rad,VWC
10/07/16 07:30:00,7.152202088,8.509153651,0.541939591,206.388726,280.5604417,1.024290651,27.11541,0.339
10/07/16 08:00:00,19.4748698,10.23,0.471221473,143.9717174,281.2032824,0.947053806,169.372,0.338
10/07/16 08:30:00,61.36072967,10.45,0.577811444,159.0371805,281.6959391,0.738638121,255.0107,0.339
10/07/16 09:00:00,50.81022857,94.34694862,1.102190399,217.9971364,282.1763204,0.66084204,297.2364,0.339
10/07/16 09:30:00,105.8778163,143.8863813,0.569687618,186.9074367,282.2252396,0.963391242,446.0645,0.339
10/07/16 10:00:00,87.84193087,136.0622142,0.459370621,204.5218005,282.7626165,1.360014834,457.9503,0.34
10/07/16 10:30:00,93.61027726,122.6030523,1.075464128,189.3758005,282.3623541,0.874088163,505.7272,0.34
10/07/16 11:00:00,25.01372802,74.95004924,0.383865178,195.0712456,282.5468719,0.390585237,124.7779,0.341
10/07/16 11:30:00,14.20216534,71.72395446,1.424112936,210.0145837,282.7126923,0.567944432,136.3314,0.341
10/07/16 12:00:00,4.239409535,69.31702899,1.451573974,190.4815113,283.2437607,0.668633044,171.6855,0.341
10/07/16 12:30:00,19.01579087,89.74551427,1.746148053,175.7074796,283.8582879,0.655562915,171.6855,0.341
10/07/16 13:00:00,56.57022775,122.0845036,1.522117802,220.6096839,284.5916758,1.000714811,388.2503,0.341
10/07/16 13:30:00,103.3756936,175.9651393,1.452991912,202.2440905,285.4628474,1.3174195,388.2503,0.341
10/07/16 14:00:00,190.4516304,270.0378489,1.176033375,218.1758107,284.8647239,1.758320196,466.1868,0.341
10/07/16 14:30:00,96.00594546,173.7055118,0.979858792,243.257582,285.0316564,2.144410784,466.1868,0.341
10/07/16 15:00:00,58.6183666,153.9782643,2.053709125,172.6179444,286.1567269,1.421927878,307.5593,0.342
10/07/16 15:30:00,142.1626906,261.0371103,1.686232562,193.972639,285.892717,1.34192165,634.6936,0.342
10/07/16 16:00:00,102.2442914,181.8090591,1.089745333,265.7573822,284.9555876,2.183991737,547.8288,0.341
10/07/16 17:30:00,34.59738575,139.1511109,1.019310533,246.3361097,285.3368978,0.900369803,487.6678,0.342
10/07/16 18:00:00,76.14599655,109.0669181,1.852942529,334.8581076,283.7420457,0.990379918,38.35582,0.342
10/07/16 18:30:00,5.348296756,44.17713903,1.784715099,330.7741293,282.7191355,0.647878195,45.15259,0.342
10/07/16 19:00:00,6.13141117,15.73492206,2.109870912,321.6160575,281.5727634,1.143951247,37.61396,0.342
10/07/16 19:30:00,8.894729916,21.66976895,1.896548223,318.9798175,281.5015791,1.190812335,35.06388,0.341
10/07/16 20:30:00,-0.494128915,28.10767382,0.660428777,274.4306482,281.2111171,0.487763823,33.42467,0.341
10/07/16 21:00:00,-1.443182066,8.763462201,0.551165971,173.2681812,280.912245,0.465197282,-18.49028,0.341
10/07/16 21:30:00,-16.08387076,16.80341927,0.442667555,219.5478855,280.4819735,0.532138674,-31.7028,0.34
10/07/16 22:00:00,-10.08330883,7.06948937,0.598028677,190.3275088,280.4208587,0.302160313,-21.63191,0.34
10/07/16 22:30:00,-9.002781607,-3.967867712,0.841628568,184.7345556,280.2344503,0.311288429,-20.63354,0.34
10/07/16 23:00:00,-9.352855542,14.57793334,0.791602961,207.7074061,277.0234968,0.35584238,-14.54818,0.339
10/07/16 23:30:00,-36.22834494,0,0.660596564,266.5229861,284.4904762,0.584856839,-14.54818,0.339
23/07/201600:00:00,-51.68998572,19.78102013,1.617071489,185.3625839,282.758445,2.275695064,-67.15324,0.35
23/07/201600:30:00,-49.81983089,19.9334857,2.270106761,186.57456,282.6031014,2.390503596,-69.7471,0.349
23/07/201601:00:00,-58.21761031,24.4985608,2.3243841,198.7946057,282.5759317,1.377249051,-73.71176,0.349
23/07/201601:30:00,-45.89043177,17.37698614,1.560401663,194.3975903,282.3465683,1.90310812,-72.07301,0.349
23/07/201602:00:00,-53.77057097,15.29780144,2.139254724,176.3832041,282.3205146,2.449154369,-72.9305,0.348
23/07/201602:30:00,-48.47746482,14.22708977,2.167660673,195.1487476,282.3322703,3.027111744,-75.33625,0.348
23/07/201603:00:00,-50.25503034,22.34420477,2.753008482,195.8513026,282.1027654,2.504806505,-71.56355,0.348
23/07/201603:30:00,-49.1460702,21.77402356,2.177302613,208.2460871,282.0043555,3.067584954,-73.92329,0.347
23/07/201604:00:00,-62.20070433,27.15952944,2.184845812,176.1042704,281.7968793,2.946314536,-58.72128,0.347
23/07/201604:30:00,-35.24154885,15.45224315,0.501763313,264.1474964,281.5182671,1.585108835,-37.62374,0.347
23/07/201605:00:00,-16.9522059,27.15952944,1.1720938,182.6196022,281.3314301,1.725400275,-66.04613,0.347
23/07/201605:30:00,-20.42891771,18.57468088,0.888993881,225.8325093,280.8776819,1.489209772,-61.96374,0.346
23/07/201606:00:00,-22.14085797,18.04421837,0.47308462,164.4044363,281.0089164,0.629707378,-35.72674,0.346
23/07/201606:30:00,-25.79450342,11.18631543,1.125972228,158.8614448,281.8693328,1.014276532,-24.16634,0.346
23/07/201607:00:00,-26.84157906,45.14600609,0.756586614,174.799315,281.949337,1.110519398,-3.224801,0.346
23/07/201607:30:00,-30.35661611,71.87564776,1.824565457,163.527266,282.2146343,2.232358861,70.4089,0.346
23/07/201608:00:00,-3.520767546,50.28446596,0.857315027,121.3747139,282.1934029,1.2920544,51.26269,0.346
23/07/201608:30:00,22.64332755,19.5256684,0.441422282,349.5688335,281.8409135,1.194596853,72.96364,0.346
23/07/201609:00:00,-14.76122881,43.41153739,1.00391196,142.3770171,282.1067265,1.344455302,62.70008,0.346
23/07/201609:30:00,14.02036712,55.0983485,1.048208848,137.9390614,282.2015408,1.107775218,204.5661,0.346
23/07/201610:00:00,14.0796494,59.86738484,1.036593165,171.1951968,282.6609906,0.931175488,86.16277,0.346
23/07/201610:30:00,32.08957708,85.16189425,0.765511636,126.7333399,283.0949489,1.760391038,86.16277,0.346
23/07/201611:00:00,16.24162615,46.93848717,0.419267721,236.4116285,283.2764923,0.932676419,115.1308,0.346
23/07/201611:30:00,22.09282219,104.5176453,0.77140954,221.2154204,283.7560711,1.998930977,257.2902,0.346
23/07/201612:30:00,64.27271823,99.72459398,0.33978475,314.00905,284.3236235,2.065806214,206.2667,0.346
23/07/201613:00:00,95.19827756,174.6910225,0.499079381,216.0337062,284.8587863,2.011586723,369.5417,0.346
23/07/201613:30:00,133.5479464,129.0056672,0.789770715,207.4645899,285.1785229,3.848521454,569.9656,0.347
23/07/201614:00:00,168.0448358,244.2980288,1.703882928,184.9884654,285.2193901,3.453806849,715.2465,0.347
23/07/201614:30:00,149.9947782,177.7049779,1.276477697,188.6160264,285.6636594,3.613673963,502.6035,0.348
23/07/201615:00:00,159.5787473,230.9463641,1.600071147,159.3288168,284.7928058,2.634262225,349.8428,0.347
23/07/201615:30:00,107.5887995,143.8565559,1.573141503,149.9228871,283.7340381,3.076598542,296.9161,0.348
23/07/201616:00:00,44.54321183,80.11274765,2.129841899,167.9132478,284.0845831,3.375057736,148.8925,0.348
23/07/201616:30:00,8.212126028,82.5290471,1.0627632,171.6114927,284.4163211,3.157033039,105.003,0.347
23/07/201617:00:00,-4.042302741,237.4553768,1.096027158,171.8631252,284.3930107,2.420280845,92.55157,0.347
23/07/201617:30:00,15.91849468,69.26335121,0.560380873,276.1101861,284.612995,2.113403171,109.9866,0.347
23/07/201618:00:00,1.895281267,53.20959245,0.45093299,139.8621331,284.3334124,1.988631672,53.33048,0.346
23/07/201618:30:00,-0.891895422,93.86689822,0.759466667,270.3915726,283.6639618,2.226647404,72.34293,0.346
23/07/201619:00:00,-29.9940471,125.6,0.309953526,356.9390776,283.5443665,0.90562296,40.49338,0.346
