TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
2/07/16 06:30:00,1.066702,-79.94,0.278,5.864,-29.08939024,-35.99184913,0.6452852299,0
2/07/16 07:00:00,1.176555,-74.47,0.278,5.623,-9.068263986,-5.782856614,0.5242537731,0
2/07/16 07:30:00,1.823782,-23.84,0.278,5.623,22.5223694,6.999641776,0.5218197758,0
2/07/16 08:00:00,2.250635,23.49,0.278,7.124,41.95030929,49.88013295,0.5350801208,0
2/07/16 08:30:00,2.478779,90,0.278,7.124,102.5371095,61.48530025,0.6640180286,0
2/07/16 09:00:00,3.013346,163.6,0.277,8.12,126.2548365,97.47321058,0.7206038666,0
2/07/16 09:30:00,3.928658,224.6,0.277,8.12,157.3744429,131.7004565,0.699620138,0
2/07/16 10:00:00,3.895678,290.2,0.277,9.13,193.4327478,156.5637424,0.7135495292,0
2/07/16 10:30:00,2.725469,354.3,0.277,9.13,127.2039247,77.75765985,0.7758649139,0
2/07/16 11:00:00,2.070742,215.2,0.277,14.59,172.0689591,114.0072772,0.9598552432,0
2/07/16 11:30:00,2.431803,307.2,0.277,14.59,221.7556569,143.1262308,0.7879772591,0
2/07/16 12:00:00,2.275562,392.7,0.277,17.3,311.1722954,247.1058602,0.9157201754,0
2/07/16 12:30:00,2.975055,604.1,0.277,17.3,272.9434782,301.2167939,1.340873815,0
2/07/16 13:00:00,1.598272,626.5,0.276,22.55,207.1673842,225.1395248,0.9791993577,0
2/07/16 13:30:00,3.745928,486.1,0.276,22.55,235.1805978,220.4512899,1.81703662,0
2/07/16 14:00:00,3.539634,505.3,0.276,24.39,212.4498384,153.3800039,1.749833952,0
2/07/16 14:30:00,2.93778,414.6,0.276,24.39,239.8820916,263.72888,1.614725367,0
2/07/16 15:00:00,2.998842,553.7,0.275,23.16,129.5274901,171.6537147,1.72970586,0
2/07/16 15:30:00,3.243762,347.4,0.275,23.16,229.4302595,176.054148,1.819240687,0
2/07/16 16:00:00,2.15956,447.7,0.275,22.8,268.5334539,280.5274164,1.243853677,0
2/07/16 16:30:00,3.787967,593.6,0.275,22.8,230.7753898,338.0540045,2.269994373,0
2/07/16 17:00:00,3.469154,616,0.274,26.84,212.7082689,114.588667,1.492809584,0
2/07/16 17:30:00,3.226549,371,0.274,26.84,64.35822577,45.875365,1.658604722,0
2/07/16 18:00:00,3.19634,145.8,0.274,24.8,68.08125249,19.16627977,1.482439166,0
2/07/16 18:30:00,2.610057,115.6,0.274,24.8,86.6516447,16.27159905,1.139641439,0
2/07/16 19:00:00,2.233969,128.2,0.274,18.4,83.85277488,41.03531097,1.142331979,0
2/07/16 19:30:00,2.68826,147.9,0.274,18.4,34.6981868,1.128234327,1.376317298,0
2/07/16 20:00:00,3.369083,56.21,0.274,17.51,12.70618528,-0.5699746851,1.210963701,0
2/07/16 20:30:00,3.77659,29.5,0.274,17.51,0,0,0.9463628265,0
2/07/16 21:00:00,2.675573,12.41,0.273,14.8,-21.02918207,-21.92012636,1.332034211,0
2/07/16 21:30:00,1.803491,-31.89,0.273,14.8,-19.85532832,-20.59490695,1.084641996,0
2/07/16 22:00:00,3.951231,-31.29,0.273,12.52,-18.54297944,-19.35629929,1.172349977,0
2/07/16 22:30:00,2.503047,-30.21,0.273,12.52,-8.896318878,-26.61267525,1.097002791,0
2/07/16 23:00:00,1.758783,-29.05,0.273,12.07,-13.33147152,-27.55025515,0.9614146064,0
2/07/16 23:30:00,2.409512,-35.38,0.273,12.07,-19.05609978,-37.59266994,1.286962594,0
3/07/16 00:00:00,1.86283,-52.32,0.273,11.39,-33.8603756,-41.2272485,1.021403076,0
3/07/16 00:30:00,2.455713,-72.63,0.273,11.39,-30.26124329,-37.13622084,1.28468701,0
3/07/16 01:00:00,2.556427,-66.42,0.273,10.03,-36.30849543,-36.78186684,1.108451607,0
3/07/16 01:30:00,2.363554,-73.23,0.273,10.03,-33.83141426,-43.86770124,0.8087908037,0
3/07/16 02:00:00,1.736056,-78.9,0.273,9.35,-28.73089851,-42.59833736,0.7713095354,0
3/07/16 02:30:00,2.301117,-73.65,0.273,9.35,-28.2971882,-34.94545119,1.049076283,0
3/07/16 03:00:00,2.143398,-66.57,0.273,8.19,-19.39161159,-24.34951755,1.014799154,0
3/07/16 03:30:00,1.578592,-47.26,0.273,8.19,-18.0223591,-24.28353833,0.6548967148,0
3/07/16 04:00:00,3.010876,-45.35,0.273,8.45,-22.43401426,-37.93504242,1.198313126,0
3/07/16 04:30:00,4.446779,-63.86,0.273,8.45,-19.66370006,-26.54167513,1.016116655,0
3/07/16 05:00:00,4.084862,-50.59,0.273,7.968,-15.02022775,-19.18893009,0.9563889813,0
3/07/16 05:30:00,4.792454,-38.51,0.273,7.968,-11.35736256,-17.0972881,1.087124451,0
3/07/16 06:00:00,5.157751,-32.56,0.273,8.15,-4.637752785,-10.08094163,1.230139616,0
3/07/16 06:30:00,4.34046,-18.07,0.273,8.15,-4.459150638,-6.783587534,1.074955225,0
3/07/16 07:00:00,3.419055,-13.84,0.272,9.23,-7.685048053,-10.65711214,1.451916118,0
3/07/16 07:30:00,3.437637,-20.49,0.272,9.23,-3.367998514,-5.097830193,0.9349636408,0
3/07/16 08:00:00,2.544683,-10,0.272,9.52,-45.21482073,-34.73792417,1.167128935,0.6
3/07/16 08:30:00,2.314977,-80.9,0.272,9.52,-34.98047068,-47.35087865,1.105240609,0
3/07/16 09:00:00,3.334532,-83,0.272,9.32,52.36973341,37.00491994,0.7210429523,0.2
3/07/16 09:30:00,4.115294,92.3,0.272,9.32,-40.81340042,-64.23482978,1.419341503,2.4
3/07/16 10:00:00,5.115981,-101.9,0.272,11.81,-17.63610403,-24.35710307,1.222604623,0.6
3/07/16 10:30:00,5.763433,-39.04,0.272,11.81,-46.85172123,-71.81990543,1.576591832,4.1
3/07/16 11:00:00,2.753161,-117,0.277,10.05,5.886802087,2.26394798,1.095293668,0.3
