Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
3/08/16 16:30:00,27.99035644,64.67848425,1.161552252,3.580735288,283.2885237,0.575324317,145.0118,0.376
3/08/16 17:00:00,41.39911976,71.10810885,0.724487489,5.217394734,283.5650539,0.784162926,179.9009,0.376
3/08/16 17:30:00,38.65887752,82.92927355,0.836648146,199.0586528,283.5784245,1.078138614,187.6384,0.376
3/08/16 18:00:00,11.03827886,58.47507574,1.351736544,187.8404485,283.2824689,0.393129378,94.14909,0.375
3/08/16 18:30:00,2.48748868,20.46377294,1.353106988,197.9331857,282.9815201,0.435629952,63.76523,0.375
3/08/16 19:30:00,-25.20433775,10.487,0.899109482,201.4213691,282.7614091,0.344165586,20.33251,0.374
3/08/16 20:00:00,-7.578323877,-6.850877481,0.909441289,159.2713155,282.5221199,0.322247154,-40.89079,0.374
3/08/16 20:30:00,-13.47424761,-1.293131476,1.201759982,200.1873377,282.3165534,0.855629855,-35.74701,0.373
3/08/16 21:00:00,-3.806846355,2.422676159,0.964160582,166.5437813,282.0817223,0.514328965,-49.03057,0.372
3/08/16 21:30:00,-42.37137945,17.46267114,1.158305108,148.2424093,281.2190643,0.467464819,-59.81944,0.371
3/08/16 22:00:00,-9.141907644,-14.63098589,1.028077804,153.995302,281.7481986,0.489327394,-73.54523,0.371
3/08/16 22:30:00,-10.00444408,-6.504088281,0.931184497,169.573649,281.3627574,0.790537695,-70.03436,0.37
3/08/16 23:00:00,-2.379616006,-14.66298003,1.205791684,156.1061621,282.5461982,1.22915091,-77.50695,0.37
3/08/16 23:30:00,-58.84316691,19.19935282,1.689102617,199.6649774,282.336327,1.892943583,-78.72482,0.37
7/08/16 08:30:00,85.28987939,-32.19057412,0.584382549,110.8892804,279.962932,1.077133367,183.462,0.382
7/08/16 09:00:00,10.92930691,25.80314961,0.422426464,70.38759095,278.6515041,0.344963157,283.4857,0.383
7/08/16 09:30:00,5.860175354,-31.41073883,0.849662236,66.02315066,282.3729978,0.397851947,362.1448,0.383
7/08/16 10:00:00,37.12301641,19.85859432,1.288374357,86.01768459,284.8734362,0.297541473,376.8418,0.383
7/08/16 10:30:00,60.31809943,130.5957354,1.207893674,74.39474624,285.8802772,0.334751451,416.6742,0.383
7/08/16 11:00:00,82.52707232,109.234617,0.784654778,55.54504314,286.4445731,0.226483579,466.5428,0.384
7/08/16 11:30:00,100.0274222,144.7104677,0.927934475,52.94529607,286.9326405,0.429264679,528.696,0.382
7/08/16 12:00:00,104.8224447,140.4384055,1.36989235,325.9537305,286.9454567,0.453165674,592.9993,0.382
7/08/16 12:30:00,102.911213,121.9258058,1.658523402,331.0042582,286.6441577,0.478173412,423.7194,0.382
7/08/16 13:00:00,51.30561934,99.6700098,1.195144308,342.0159816,286.7711951,0.327645806,264.04,0.383
7/08/16 13:30:00,42.57525157,76.87177602,1.089357781,348.2930753,285.760909,0.323831311,321.7482,0.382
7/08/16 14:30:00,8.071521911,92.00206823,1.099065892,345.2018323,284.9102745,0.265882202,101.4069,0.38
7/08/16 15:00:00,-16.20184598,95,0.382691647,317.0577018,281.4165373,0.517550649,33.46882,0.38
7/08/16 15:30:00,-7.313448717,100.828321,0.235791971,96.8344747,282.4343651,0.136861613,9.119745,0.381
7/08/16 16:30:00,-10.6,90.546,0.927224821,215.1470321,284.1939683,1.087908709,52.27818,0.382
7/08/16 17:00:00,-14.72673517,135.9729668,0.217831936,147.5138249,284.5161472,0.828069388,33.44077,0.382
7/08/16 17:30:00,-1.230873575,24.96581137,0.466757549,223.5371163,285.1613636,0.21438079,61.86527,0.381
7/08/16 18:00:00,-2.9715535,29.77962738,0.561344446,187.9274546,285.3051699,0.132731321,55.28769,0.381
7/08/16 18:30:00,-1.15490716,44.38763106,0.077905568,218.8219171,284.8319958,0.22691941,23.02923,0.381
7/08/16 19:00:00,2.681235053,-9.256710666,0.146477717,131.1051187,284.2935039,0.113859794,-8.707742,0.38
7/08/16 19:30:00,-3.249486417,-1.88661855,0.34097222,84.33203628,279.0950187,0.390712848,-11.81044,0.38
7/08/16 20:30:00,4.18698267,18.88436039,0.160109237,340.3783319,275.6572212,0.187132013,-11.34449,0.388
7/08/16 21:00:00,-1.085559314,1.66625255,0.435020635,126.2099682,275.6692468,0.264272287,-17.44268,0.387
7/08/16 21:30:00,-10.11251709,0.486742124,0.643057773,122.3370149,274.8296544,1.058956278,-9.540872,0.387
7/08/16 23:00:00,-2.380010922,-2.250941905,0.226356649,79.69568134,274.7425931,0.164111803,-13.93132,0.397
7/08/16 23:30:00,-3.965167183,-13.57425593,0.335715439,122.7629518,274.6755159,0.129525013,-10.54838,0.398
8/08/16 00:00:00,-5.063919614,9.950586086,0.894348608,96.68300868,274.495322,0.647508458,-10.88661,0.398
8/08/16 00:30:00,-5.225298352,3.222448095,0.429291853,112.7523938,274.4972318,0.191130914,-10.11642,0.398
8/08/16 01:00:00,-1.866724633,-10.46138069,0.182367769,91.43756536,274.2958887,0.172415811,-13.32073,0.398
8/08/16 01:30:00,-5.063257346,4.595773052,0.430214944,135.9729754,274.3085639,0.128374338,-11.90653,0.398
8/08/16 02:00:00,-17.00122943,-23.5878616,0.780216598,149.5559474,274.752782,0.430336645,-21.61629,0.398
8/08/16 02:30:00,-31.35744586,22.90063565,1.197077099,108.2393275,274.8496882,0.95101996,-13.57779,0.398
8/08/16 03:30:00,-2.056321218,17.85420325,0.780278265,137.2777908,274.0135204,0.593681466,-30.58395,0.398
8/08/16 04:00:00,-17.31968204,3.498626448,0.744169421,134.4967503,273.5126147,0.327942793,-21.58882,0.397
8/08/16 04:30:00,-25.79097979,10.64973494,0.764726089,133.3039213,274.6067069,0.379743553,-34.14687,0.397
8/08/16 06:30:00,-9.043604546,20.647,0.821452772,105.3233676,277.564811,0.325931178,-16.96102,0.395
8/08/16 07:30:00,-19.7739629,74.46880962,0.838010537,113.0312588,277.7933118,0.678554886,-18.85497,0.394
8/08/16 08:00:00,-31.9608328,-20.81339467,2.771534201,85.8738168,279.5275521,0.908609288,111.5306,0.394
8/08/16 08:30:00,-8.026623064,-7.4967,2.726279969,91.51314694,280.9468115,1.22760341,142.8998,0.393
8/08/16 09:00:00,-5.715198345,81.32593244,2.316404184,102.2071568,281.6510153,1.164649828,138.873,0.393
8/08/16 09:30:00,8.736449847,72.25754643,2.042826749,98.33254721,281.8979159,1.035784096,149.1001,0.393
8/08/16 10:00:00,10.0537989,96.6833934,1.924796296,97.67082009,282.4433811,0.861021118,269.9938,0.393
8/08/16 10:30:00,61.38658854,104.3114946,1.729475126,116.3973556,283.2342794,1.469331816,292.4598,0.393
8/08/16 11:00:00,96.38636792,116.0389826,1.202539358,110.8944005,284.1045646,1.35280778,533.4071,0.393
8/08/16 11:30:00,161.0741756,147.9444534,1.311354367,132.5407759,285.2176977,1.975412618,557.7213,0.393
8/08/16 12:00:00,168.4850901,130.9897695,0.761986681,150.3653286,285.5711169,1.502672463,448.4032,0.393
8/08/16 12:30:00,126.0350072,31.9427615,0.208422274,188.39638,286.4540843,1.431841888,714.4579,0.393
8/08/16 13:00:00,187.9438391,192.1785066,0.727606591,208.9461645,286.3787133,2.201450506,659.2421,0.393
8/08/16 13:30:00,141.5437013,215.8110137,1.210545817,245.9070962,286.4604761,1.024343235,304.0985,0.388
8/08/16 14:00:00,143.3882984,219.4713517,1.606683473,254.9091099,287.0447749,1.289965083,607.2419,0.387
8/08/16 14:30:00,198.8657602,278.3031344,1.769252085,236.6073271,288.030533,1.399942816,634.9482,0.386
8/08/16 15:00:00,137.497605,225.0174587,1.914573952,227.1592064,287.7683316,1.382855611,510.9164,0.384
8/08/16 15:30:00,159.9961896,219.6781043,2.426401466,224.0440314,288.0520094,1.892652772,608.2555,0.383
8/08/16 16:00:00,146.0223534,206.5401395,2.951465075,226.2117962,287.1442901,2.862113331,251.5696,0.382
8/08/16 16:30:00,80.93985926,174.5392974,3.401050752,226.8149929,284.8571329,3.928680067,332.7607,0.381
8/08/16 17:00:00,90.36785623,148.6346774,3.296941576,197.654461,284.447853,3.036569136,238.0276,0.38
8/08/16 17:30:00,103.2271085,158.865854,2.653635572,225.1817298,283.765409,3.002400739,293.0615,0.378
8/08/16 18:00:00,89.53260551,154.7804824,3.008826015,189.5787994,283.1299017,2.030104704,271.6117,0.378
8/08/16 18:30:00,69.06925966,123.7730541,2.575165121,193.0477064,284.2197523,1.691950923,169.0241,0.377
8/08/16 19:00:00,-14.08448831,91.18749981,2.953280661,180.7988754,284.0863951,1.361715521,-52.04875,0.376
8/08/16 19:30:00,-62.54265387,72.62434484,2.487911863,185.0315903,283.2974021,1.49069433,-52.75942,0.375
8/08/16 20:00:00,-38.75406451,26.01821699,1.613556218,189.9379129,283.1774801,1.360303079,-57.17496,0.375
8/08/16 20:30:00,-58.00409897,35.52606562,1.846879492,164.9391872,282.6136238,0.852897141,-67.38036,0.374
8/08/16 21:00:00,-54.15935166,23.64624166,1.691181046,165.3628582,281.7923379,0.911713421,-73.76702,0.373
8/08/16 21:30:00,-59.3346457,15.3519489,1.740567028,161.7171294,281.0759681,0.689060294,-79.28137,0.372
8/08/16 22:30:00,-28.86304855,6.097469473,0.628819286,150.7894949,281.4460239,0.388780434,-66.4966,0.37
8/08/16 23:00:00,-80.387,27.99395686,0.872858374,128.9493844,279.8117885,0.737162488,-67.60089,0.37
8/08/16 23:30:00,-73.70244116,13.45209301,1.04201856,131.2510651,279.2433142,0.404288166,-62.73463,0.369
12/08/16 00:00:00,-10.12799958,-42.68571159,0.437611208,150.1703504,276.0511166,0.163353713,-16.63155,0.371
12/08/16 00:30:00,-15.2222135,-12.70150727,0.397285314,141.0642666,276.7377262,0.13174535,-25.39612,0.371
12/08/16 01:00:00,-20.66871375,-4.389238158,0.600949592,143.2156682,277.0718819,0.141034654,-23.83905,0.37
12/08/16 01:30:00,-5.518428644,3.522434598,0.509522604,134.9928748,279.310131,0.120285045,-13.13654,0.37
12/08/16 02:00:00,-5.641988643,-8.497456286,0.616516122,154.5142754,278.5428856,0.098379139,-19.13106,0.369
12/08/16 02:30:00,-17.01906961,3.568,0.589293322,142.361957,277.256179,0.248770395,-14.94329,0.369
12/08/16 03:00:00,0.045352244,-2.865879194,0.589367671,150.4275493,276.8622178,0.156174456,-19.47079,0.368
12/08/16 04:30:00,5.242669577,-12.51858559,0.740212383,139.2822017,276.4709883,0.104827979,-10.27633,0.367
12/08/16 05:00:00,-1.33176117,-13.64980876,0.642903175,140.242164,276.8289027,0.079741579,-4.805135,0.367
12/08/16 05:30:00,41.86132779,-5.957395486,0.741768135,150.1335303,276.5081474,0.194983187,-25.52932,0.367
