Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
13/08/201613:30:00,103.5465721,224.5689716,0.582536967,97.69580549,289.314354,2.154986125,518.9075,0.361
13/08/201614:00:00,74.92499871,192.1652361,0.692493523,155.9156679,290.0111644,1.762565687,499.2578,0.361
13/08/201614:30:00,51.74127827,159.8148213,0.470702737,182.0280293,289.7363597,1.06371241,427.6724,0.362
13/08/201615:00:00,41.07716203,171.7070512,0.415483383,136.3620377,290.0559287,2.768416551,220.1332,0.362
13/08/201615:30:00,37.8984078,183.8278923,1.408272009,130.182024,290.5848035,1.718574615,304.4789,0.362
13/08/201616:00:00,26.10258693,122.7782391,0.968841367,315.8703879,289.8874291,0.882695554,284.7061,0.361
13/08/201616:30:00,27.97937366,111.3179578,0.216387891,146.4055606,289.5773449,2.288998105,263.3053,0.361
13/08/201617:00:00,13.02483257,111.3584112,0.544589128,171.7454846,288.4858968,1.242097733,249.4934,0.361
13/08/201617:30:00,37.37847215,141.9615209,1.038974616,132.3664256,287.0019495,2.321151607,193.0779,0.361
13/08/201618:00:00,7.007685195,107.0109952,0.291377339,236.2724181,286.4822386,1.483718317,300.6481,0.361
13/08/201618:30:00,10.27495217,142.5805987,0.849442615,164.076457,284.8302946,1.812978025,78.19563,0.361
13/08/201619:00:00,-14.2157112,44.34726571,0.149865503,91.44909194,278.9685665,0.468240502,138.2565,0.361
13/08/201619:30:00,-44.4158183,62.21139766,0.586924069,87.62157878,277.2727246,0.873081626,-9.905352,0.361
13/08/201620:00:00,-21.17393107,18.24789552,0.486682986,104.330014,276.2919645,0.478190048,-33.42976,0.36
13/08/201620:30:00,-35.02220975,52.77480625,0.739353117,130.0959068,275.9771321,0.374426745,-33.50291,0.36
13/08/201621:00:00,-45.94065768,36.33527844,0.71187468,127.6474592,275.5463429,0.34769749,-52.24882,0.36
13/08/201621:30:00,-56.75154108,30.2047601,0.503596931,136.7110517,274.8589978,0.423084528,-60.90728,0.359
13/08/201622:00:00,-82.53420579,33.79350658,0.782203274,120.7983879,274.7443991,0.446125335,-59.85712,0.358
13/08/201622:30:00,-72.81170241,29.94719585,0.617223275,143.5963058,274.6796477,0.285836707,-62.03184,0.358
13/08/201623:00:00,-45.37772756,20.41456014,0.96025222,135.1161426,275.1706248,0.167425049,-52.41941,0.358
13/08/201623:30:00,-62.82868312,29.39021382,1.285145951,137.1250714,274.1683161,0.349146787,-48.32394,0.357
